churn;subscriber_id;msisdn;sales_channel_description;date_activation;churn_date;first_call_date;last_call_date;first_recharge_date;first_recharge_amount;last_international_call_date;original_operator;dat_attrib_kridi;dat_remb_kridi_net;ported_in_request_date;SelectionProb;SamplingWeight
No;10923376;4cf2733a3d091eda03764efd5c6e5203;;27JAN2010:00:00:00.000000;09MAY2022:23:59:59.000000;26NOV2015:08:07:10.000000;15JUL2022:22:19:22.000000;07DEC2012:00:00:00.000000;925.000;;Ooredoo;;25FEB2019:12:51:16.000000;;0.0001224126;8169.093
No;2168043346;f1a19788ab49fc19e349414a965ec50e;;12SEP2022:00:00:00.000000;;12SEP2022:23:06:59.000000;19SEP2022:12:11:44.000000;12SEP2022:23:06:53.000000;10000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2152577213;62a04ed0bc24a3376a814acae0162ebf;;09SEP2019:11:24:59.000000;;09SEP2019:11:25:26.000000;26AUG2022:15:58:07.000000;25AUG2019:18:13:30.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2154419538;2f14a6daa8b7ed134be8543beae2e31f;;04FEB2020:11:14:59.000000;;04FEB2020:11:16:25.000000;20MAY2022:12:45:41.000000;14SEP2020:12:34:28.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2153721207;fedb22b79ded59899bc6ceb6a7941384;;09DEC2019:16:04:59.000000;;18FEB2020:13:49:32.000000;01APR2022:10:27:04.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2167754906;4babc4a09313fc9b3743fccf65e7d294;;26AUG2022:00:00:00.000000;;26AUG2022:16:44:38.000000;29AUG2022:10:46:54.000000;26AUG2022:10:36:50.000000;1754.000;;Ooredoo;;;;0.0001224126;8169.093
No;2166935471;c66b95f40d7c3c157e31ce0a2a1e4b88;;13JUL2022:00:00:00.000000;;14JUL2022:14:07:10.000000;22AUG2022:19:14:44.000000;27JUL2022:21:04:45.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2166940060;5655fabce602beb3834bf6c632ba4ca1;;13JUL2022:00:00:00.000000;;13JUL2022:15:30:24.000000;17NOV2022:18:28:33.000000;07AUG2022:21:54:51.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2167730447;da3ec63bfd10705bd27f712c9ac11f9f;;25AUG2022:00:00:00.000000;;25AUG2022:20:59:36.000000;31AUG2022:19:20:18.000000;25AUG2022:09:00:48.000000;4386.000;;Ooredoo;;;;0.0001224126;8169.093
No;2156095976;8425f75d6911d537283059a6ac10a9d8;;07AUG2020:18:13:59.000000;;07AUG2020:18:15:44.000000;04SEP2022:18:04:33.000000;30MAY2021:14:52:29.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;3587840;7e379041bf7d0009049c3629c37a0148;;13JUN2006:00:00:00.000000;;26NOV2015:12:08:34.000000;21FEB2023:09:42:11.000000;08DEC2012:00:00:00.000000;5555.000;;Ooredoo;;;;0.0001224126;8169.093
No;2138382942;c20379fad62e92de62ac402a2331ebb3;;29FEB2016:17:12:06.000000;;01MAR2016:07:32:32.000000;31JAN2022:10:48:38.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2167813458;c38761f3638f1721452e6b04dc067a59;;30AUG2022:00:00:00.000000;;30AUG2022:16:11:14.000000;05SEP2022:16:56:02.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2144803083;199ec8e44217995e8e6c7aab6ed14bb2;;05DEC2017:00:00:00.000000;;24NOV2017:11:53:47.000000;21FEB2023:23:57:34.000000;05DEC2017:11:06:19.000000;4545.000;;Non Ooredoo;;11DEC2021:19:37:48.000000;;0.0001224126;8169.093
No;2168870622;04d1caeaf7f8a541248cdd274dd728fe;;01NOV2022:00:00:00.000000;;01NOV2022:18:27:05.000000;27NOV2022:09:18:25.000000;01NOV2022:18:27:23.000000;1754.000;;Ooredoo;;;;0.0001224126;8169.093
No;12770280;984c73bfc2ac9ca844b9f7d1f3bbcc34;;24OCT2010:00:00:00.000000;;26NOV2015:14:47:23.000000;20FEB2023:20:32:58.000000;02DEC2012:00:00:00.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2169650092;03b04b86ec162b25e66cf7424272fed9;;19DEC2022:17:03:59.000000;;19DEC2022:17:08:09.000000;21FEB2023:19:48:22.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2145790534;bba4778d055eec2f8375674457a2b82f;;01MAR2018:15:24:59.000000;09JUN2018:00:00:00.000000;01MAR2018:15:24:11.000000;15JUL2021:12:41:40.000000;07DEC2019:14:23:05.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2166722847;def50a938f9222321e4b77c58b5cbfee;;03JUL2022:00:00:00.000000;;03JUL2022:21:44:04.000000;26SEP2022:21:09:15.000000;01SEP2022:21:53:34.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2168571395;5021a26db9e48c4ae376132eba610af4;;14OCT2022:00:00:00.000000;;14OCT2022:18:43:45.000000;18OCT2022:12:10:20.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2169878895;1a4a1e7d5a3d8b977c0b126b093d295e;;31DEC2022:00:00:00.000000;;31DEC2022:08:54:58.000000;13JAN2023:17:36:28.000000;08JAN2023:12:29:35.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2169195994;62079eae68c6a07463ae5d52e5d4f795;;22NOV2022:00:00:00.000000;;22NOV2022:08:50:24.000000;22NOV2022:08:50:24.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;10927447;2b3d9cb8a073d75db3767194f0499e79;;01JAN2010:00:00:00.000000;;26NOV2015:10:01:43.000000;19FEB2023:07:32:31.000000;01DEC2012:00:00:00.000000;925.000;;Ooredoo;;03JUL2020:20:29:01.000000;;0.0001224126;8169.093
No;20654109;7a6cd716e97da117b7d72bf71b2460c4;;26AUG2013:00:00:00.000000;;30NOV2015:13:16:07.000000;21FEB2023:14:45:45.000000;28AUG2013:00:00:00.000000;1000.000;;Ooredoo;;23MAY2021:18:09:29.000000;;0.0001224126;8169.093
No;2159401807;54ff8c16853dbc454ffbbb0cdadf29c2;;06APR2021:00:00:00.000000;07FEB2023:23:59:59.000000;07APR2021:11:10:31.000000;28JUN2022:18:39:06.000000;06APR2021:17:09:43.000000;5000.000;;Ooredoo;;28NOV2021:21:53:38.000000;;0.0001224126;8169.093
No;7179557;9843b446b9015a65632d8f276cfaaeed;;14MAY2008:00:00:00.000000;;30NOV2015:21:27:40.000000;18NOV2022:06:47:25.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2166068762;a7496c12ff44274513db231a0bd9a240;;23MAY2022:00:00:00.000000;20NOV2022:23:59:59.000000;23MAY2022:14:29:16.000000;25MAY2022:15:25:49.000000;23MAY2022:09:13:58.000000;4386.000;;Ooredoo;;;;0.0001224126;8169.093
No;2168690599;09063c5e5789f1c4d914f6e415eeceed;;21OCT2022:00:00:00.000000;;21OCT2022:10:32:58.000000;07NOV2022:07:53:41.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2166585200;5b8b4a53bdd032654f12339eb4ff5f58;;23JUN2022:00:00:00.000000;;23JUN2022:14:47:42.000000;26JUN2022:13:52:52.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;23687330;998f1bcd38a82c9527dd776622a2817d;;29SEP2014:00:00:00.000000;;26NOV2015:12:12:26.000000;21FEB2023:20:11:22.000000;03OCT2014:00:00:00.000000;981.000;;Ooredoo;;10DEC2021:10:17:34.000000;;0.0001224126;8169.093
No;2157580454;314fa4f0480ec0eb4abf53ebb8b82dac;;09DEC2020:00:00:00.000000;;09DEC2020:12:59:35.000000;21FEB2023:21:14:46.000000;09DEC2020:12:57:28.000000;5000.000;;Ooredoo;;22DEC2021:11:46:29.000000;;0.0001224126;8169.093
No;2169318208;dcf63b094174f3c08e3fa1d4bcf36f23;;30NOV2022:00:00:00.000000;;30NOV2022:05:33:15.000000;30NOV2022:05:33:15.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2162459690;469b9a35f14a04cd4bf2f9238e02debc;;20SEP2021:00:00:00.000000;;20SEP2021:13:48:35.000000;20FEB2023:19:01:42.000000;20SEP2021:13:47:43.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2169278009;cd8463bbbeec6d441681d51d0fd22a2a;;26NOV2022:00:00:00.000000;;26NOV2022:18:54:25.000000;26NOV2022:18:54:25.000000;27NOV2022:00:29:45.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2143090837;3a01112365029b808c5a2000dd88e887;;25JUN2017:00:00:00.000000;;24JUN2017:16:58:08.000000;19FEB2023:17:47:28.000000;01JUL2017:20:30:08.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2146776781;9b996f1ee703e65fd0f2fd999d6e08c9;;31MAY2018:00:00:00.000000;;31MAY2018:16:43:53.000000;21FEB2023:23:13:02.000000;31MAY2018:17:27:23.000000;1000.000;;Ooredoo;;18DEC2021:18:20:22.000000;;0.0001224126;8169.093
No;2165217866;113ffabc481c4a8c02feb7c32fab10e5;;23MAR2022:00:00:00.000000;;23MAR2022:17:52:36.000000;21FEB2023:20:46:26.000000;07APR2022:22:24:00.000000;10000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2140830769;fc68fc68754081370bd27a4bd664468e;;27OCT2016:16:37:44.000000;;27OCT2016:16:20:26.000000;21FEB2023:23:56:08.000000;27OCT2016:16:23:19.000000;4545.000;;Ooredoo;;22DEC2021:16:22:22.000000;;0.0001224126;8169.093
No;2169403650;3d25da1c418b8ab3e464623914f7920d;;04DEC2022:00:00:00.000000;;04DEC2022:12:13:53.000000;10DEC2022:17:48:46.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2163447743;7cbb8be675b7ecb59b23cfbd1fa818ec;;02DEC2021:12:32:48.000000;;02DEC2021:12:33:24.000000;21FEB2023:20:37:57.000000;09OCT2021:10:20:33.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2167002578;2f5ebc87dd144fe5eced9b387d0a027b;;16JUL2022:00:44:03.000000;;17JUL2022:16:53:32.000000;27DEC2022:15:19:35.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2168998490;9ec71423210e8fb22570b267e42c6e13;;09NOV2022:00:00:00.000000;;09NOV2022:20:07:43.000000;13NOV2022:13:02:54.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2156123015;f51107514a1360399430e197048ba5f8;;10AUG2020:00:00:00.000000;;10AUG2020:06:57:20.000000;10DEC2022:05:55:56.000000;16AUG2020:10:42:54.000000;1000.000;;Ooredoo;;13DEC2021:19:51:45.000000;;0.0001224126;8169.093
No;2162751208;091583af9b3b59366c4b1f831437cd82;;16OCT2021:00:00:00.000000;;16OCT2021:15:40:48.000000;16NOV2022:16:17:25.000000;16OCT2021:15:34:34.000000;4386.000;;Ooredoo;;;;0.0001224126;8169.093
No;2170029145;c6fb6611714f0e45530f4e3d17aec6be;;10JAN2023:16:20:59.000000;;11JAN2023:17:28:52.000000;10FEB2023:17:52:47.000000;17JAN2023:14:53:17.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2155151366;1a708eb95d6eb2be4a62f8461686df45;;11MAY2020:00:00:00.000000;;11MAY2020:16:57:56.000000;24APR2021:01:12:09.000000;11MAY2020:17:06:01.000000;10000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2137300948;00076345e4bf65422d26461b5329cf69;;17OCT2015:21:19:55.000000;;26NOV2015:00:11:02.000000;21FEB2023:23:51:04.000000;17OCT2015:00:00:00.000000;5000.000;;Ooredoo;;17DEC2021:10:53:32.000000;;0.0001224126;8169.093
No;2170212270;ed911b3727f8cc4e1aaa232745e8fceb;;21JAN2023:00:00:00.000000;;21JAN2023:12:20:22.000000;21FEB2023:20:10:03.000000;30JAN2023:10:52:47.000000;5000.000;21FEB2023:20:10:03.000000;Ooredoo;;;;0.0001224126;8169.093
No;2167402675;2b0ae1c453fb1c535001ba28230da9c3;;11AUG2022:00:00:00.000000;19NOV2022:23:59:59.000000;11AUG2022:09:41:32.000000;21AUG2022:15:12:02.000000;11AUG2022:08:56:21.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2145169138;b70bf5547a30fa425e29e6ffb5b6d755;;03JAN2018:00:00:00.000000;24MAR2021:23:59:59.000000;03JAN2018:11:40:34.000000;15FEB2023:18:52:12.000000;03JAN2018:11:41:29.000000;6140.000;;Ooredoo;;;;0.0001224126;8169.093
No;2164822683;517037450acd25cc2be37ad83a004c6e;;28FEB2022:00:00:00.000000;18NOV2022:23:59:59.000000;;;28FEB2022:12:02:26.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2154288029;3cb924af2dd8667892cda6a63e6b90f0;;03FEB2020:14:11:59.000000;;03FEB2020:14:51:33.000000;21FEB2023:22:34:55.000000;04MAR2020:17:56:06.000000;1000.000;;Non Ooredoo;;;24JAN2020:15:35:21.000000;0.0001224126;8169.093
No;2169421693;cbb0db591e593ee98a526436008a025d;;08DEC2022:00:00:00.000000;;08DEC2022:18:33:10.000000;10DEC2022:23:54:07.000000;08DEC2022:17:47:04.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2169143826;155e12f7f26ad0d8bcb773041b3a41e3;;19NOV2022:00:00:00.000000;;19NOV2022:22:49:08.000000;11DEC2022:08:00:14.000000;21NOV2022:01:51:27.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2142590072;c0724c381edf037f7b8bbce93e6aa93c;;03MAY2017:00:00:00.000000;;03MAY2017:14:18:07.000000;04JAN2023:12:26:23.000000;03MAY2017:10:46:01.000000;5000.000;;Ooredoo;;26OCT2021:20:55:08.000000;;0.0001224126;8169.093
No;2169246307;94ec6f593d40a56de70f77045f3d5785;;24NOV2022:00:00:00.000000;;22DEC2022:16:04:13.000000;22DEC2022:16:04:13.000000;24NOV2022:09:55:12.000000;4386.000;;Ooredoo;;;;0.0001224126;8169.093
No;2154991848;03b13c5619860b372220d7ea70cd4004;;13APR2020:00:00:00.000000;;13APR2020:10:17:42.000000;21FEB2023:23:44:23.000000;13APR2020:11:59:01.000000;1000.000;;Ooredoo;;30OCT2021:16:16:26.000000;;0.0001224126;8169.093
No;2169490788;da15e44bbf8f1cfe3caa0922fba37178;;11DEC2022:00:00:00.000000;;11DEC2022:10:45:07.000000;18DEC2022:19:42:13.000000;13DEC2022:16:41:57.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2162596783;e6108d16ac2f31ea92cb6d2457ada1f8;;01OCT2021:11:12:59.000000;;01OCT2021:11:17:33.000000;21FEB2023:20:46:45.000000;29MAR2022:12:50:04.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2166061329;c4f0efb25a13dff943c5223da9ce46d6;;22MAY2022:00:00:00.000000;17FEB2023:23:59:59.000000;11JUL2022:04:51:19.000000;22AUG2022:21:34:26.000000;22MAY2022:10:45:48.000000;4386.000;;Ooredoo;;;;0.0001224126;8169.093
No;2164321082;f6aa307774fbe978218eb85c08433c70;;31JAN2022:12:44:59.000000;;;;;;;Ooredoo;;;;0.0001224126;8169.093
No;2161426021;8009b552b72318738502e0e9ed0023a4;;30JUL2021:12:18:59.000000;;30JUL2021:12:19:05.000000;21FEB2023:21:32:41.000000;31JUL2021:12:19:17.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2153781669;b583c1dfb41c7c93195fedf432e5414e;;23DEC2019:00:00:00.000000;;23DEC2019:15:46:39.000000;21FEB2023:20:28:18.000000;23DEC2019:16:52:31.000000;5000.000;;Non Ooredoo;;;14DEC2019:18:07:18.000000;0.0001224126;8169.093
No;2168157632;dbec3ec85760c655be61d54fcc89722b;;19SEP2022:00:00:00.000000;;19SEP2022:18:47:15.000000;21FEB2023:19:18:35.000000;19SEP2022:18:45:45.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2167340398;0e9f24c54e8af1453f6cdc7f205b90b4;;03AUG2022:00:00:00.000000;;03AUG2022:16:42:08.000000;09AUG2022:09:06:11.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2165718134;dbaee5e51f5eb1c76c6823ada3d1ce1e;;27APR2022:11:35:59.000000;;;;;;;Ooredoo;;;;0.0001224126;8169.093
No;2150736902;dafe2ba2b216910c38b0a5d970230807;;26APR2019:00:00:00.000000;;26APR2019:11:59:45.000000;21FEB2023:21:41:51.000000;26APR2019:22:35:10.000000;1000.000;;Ooredoo;;18DEC2021:20:32:32.000000;;0.0001224126;8169.093
No;2169773076;b0024f3999ff7d04e1d4f25b39d94306;;26DEC2022:10:58:10.000000;;26DEC2022:11:01:03.000000;21FEB2023:23:35:02.000000;30OCT2022:10:27:46.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2158702147;52674bf9496a70d12f6fcabf2122e0d1;;06APR2021:00:00:00.000000;;06APR2021:13:00:20.000000;21FEB2023:22:32:56.000000;06APR2021:13:00:11.000000;1000.000;;Ooredoo;;18DEC2021:16:36:47.000000;;0.0001224126;8169.093
No;2165105178;f0216bf0d2544778d64868aa58bcb912;;18MAR2022:15:20:59.000000;;18MAR2022:18:49:58.000000;21FEB2023:21:33:05.000000;27APR2022:14:49:53.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2169731481;cb104ab0241fa07b007c266a0eba8f64;;25DEC2022:00:00:00.000000;;25DEC2022:09:47:16.000000;25DEC2022:09:47:16.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2169727207;dddb90fe3ebc6fe93dc57b20cedb8a24;;24DEC2022:00:00:00.000000;;24DEC2022:19:44:19.000000;24DEC2022:19:44:19.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2144385205;87e4384458b71143dac5d7a6452efd28;;13OCT2017:00:00:00.000000;;11OCT2017:16:09:18.000000;21FEB2023:13:21:55.000000;13OCT2017:16:10:07.000000;22727.000;;Ooredoo;;;;0.0001224126;8169.093
No;2137545049;ebacb2abc11cd4adddb44189fa925421;;18NOV2015:17:17:54.000000;16MAY2017:23:59:59.000000;26NOV2015:07:57:13.000000;21FEB2023:20:04:47.000000;18NOV2015:00:00:00.000000;909.000;;Ooredoo;;19DEC2021:11:55:26.000000;;0.0001224126;8169.093
No;22203946;9e5bdfe186370c3bfb7229f6daa8a0ba;;23MAR2014:00:00:00.000000;;27NOV2015:15:11:45.000000;21FEB2023:22:45:13.000000;22MAR2014:00:00:00.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;1782389;8f542f78b0174b796135bb28695ddd22;;03JUN2005:00:00:00.000000;;26NOV2015:10:34:27.000000;21FEB2023:20:05:36.000000;01DEC2012:00:00:00.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2143079854;ee390dba7b59d89e704657009873dd3e;;24JUN2017:00:00:00.000000;;24JUN2017:10:21:35.000000;21FEB2023:21:22:23.000000;24JUN2017:12:23:37.000000;5000.000;;Ooredoo;;01NOV2021:19:17:33.000000;;0.0001224126;8169.093
No;2168019490;d415d558a0922aee903492b4177255b2;;11SEP2022:00:00:00.000000;;11SEP2022:16:39:56.000000;06NOV2022:13:06:08.000000;12SEP2022:19:26:01.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2150379301;0d19f4b6695e06eccac3b14cf259ce5b;;26MAR2019:16:21:09.000000;;28MAR2019:17:28:28.000000;21FEB2023:17:09:25.000000;15FEB2019:12:09:30.000000;1000.000;;Ooredoo;;29JUN2020:13:04:42.000000;;0.0001224126;8169.093
No;2149681911;8f387f44c7bf0411f0218eee52ba43da;;11JUN2019:00:00:00.000000;;25JAN2019:00:00:21.000000;16OCT2022:16:56:08.000000;11JUN2019:14:13:54.000000;5000.000;;Ooredoo;;25OCT2021:10:30:53.000000;;0.0001224126;8169.093
No;2162574354;6f9e7a55e042a4159604838949d28f67;;29SEP2021:17:12:59.000000;;06OCT2021:18:50:11.000000;21FEB2023:22:03:43.000000;31MAY2022:12:16:49.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2145885949;77b04ba64a384996da70d0b1e2aa4432;;09MAR2018:15:23:59.000000;;09MAR2018:15:20:14.000000;03SEP2021:00:49:00.000000;24MAR2020:16:29:53.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2166017451;adff96246603b898b1b3595a8af5624c;;26MAY2022:00:00:00.000000;;26MAY2022:11:57:26.000000;26MAY2022:11:57:26.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2150839614;421f613b7990df454b178418ecdf972b;;04MAY2019:10:42:59.000000;;04MAY2019:10:43:57.000000;21FEB2023:18:43:17.000000;12JUL2020:17:51:48.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2137247102;f73eea18018a07371580dab17d9b8885;;10OCT2015:17:36:57.000000;;26NOV2015:09:25:47.000000;21FEB2023:19:30:19.000000;10OCT2015:00:00:00.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2167210499;436658478884a06844c07b81aea0e614;;27JUL2022:18:51:59.000000;;27JUL2022:19:04:54.000000;21FEB2023:23:21:56.000000;08SEP2022:11:46:36.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2144802416;a643979fd8f0f1dcbc7940e72eee84d8;;24NOV2017:16:36:59.000000;;24NOV2017:16:33:25.000000;21FEB2023:20:04:49.000000;30DEC2017:18:11:29.000000;1000.000;;Ooredoo;;19DEC2021:22:55:35.000000;;0.0001224126;8169.093
No;2141339762;a7db2255c8cd52c80851c7549b0b58ef;;15JAN2017:21:57:58.000000;11FEB2022:23:59:59.000000;26DEC2016:21:45:36.000000;22DEC2022:13:50:52.000000;15JAN2017:21:48:35.000000;1000.000;;Ooredoo;;08AUG2021:01:02:06.000000;;0.0001224126;8169.093
No;2166745680;e0746758a58718b44485d6d534455d25;;06JUL2022:00:00:00.000000;;06JUL2022:03:12:00.000000;20JAN2023:17:39:05.000000;06JUL2022:03:09:59.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2170027746;f71fc4b71e3914a414c58f9d6b4ba0b9;;11JAN2023:00:00:00.000000;;11JAN2023:22:13:41.000000;14JAN2023:14:19:24.000000;11JAN2023:22:12:50.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2168538769;e0b7063634b5bbf274de6dbeeaaf2928;;13OCT2022:15:32:44.000000;12OCT2022:23:59:59.000000;13OCT2022:15:34:44.000000;20OCT2022:11:07:30.000000;13OCT2022:16:04:13.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;3072474;899932e2ed44fb555b896b592eae46a0;;22FEB2006:00:00:00.000000;;01DEC2015:11:55:35.000000;21FEB2023:12:55:35.000000;18DEC2012:00:00:00.000000;10000.000;;Ooredoo;;;;0.0001224126;8169.093
No;6210556;a68584b5ce61f18baa2b77974ae07d8c;;08NOV2007:00:00:00.000000;27MAY2022:23:59:59.000000;26NOV2015:12:58:11.000000;09NOV2022:16:43:28.000000;05DEC2012:00:00:00.000000;925.000;;Ooredoo;;;;0.0001224126;8169.093
No;2136327845;26d259debf7a406d467bdca776288740;;20JUN2015:16:36:31.000000;;26NOV2015:13:22:56.000000;21FEB2023:21:38:52.000000;20JUN2015:00:00:00.000000;5000.000;;Ooredoo;;11DEC2021:13:39:31.000000;;0.0001224126;8169.093
No;2167022566;fb8b82c4703484500203cd5eee991043;;18JUL2022:00:00:00.000000;;18JUL2022:23:49:42.000000;06AUG2022:14:21:49.000000;20JUL2022:00:05:55.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2137263500;f0b5975f1c5a6506c77afa0927bbf1c8;;12OCT2015:18:07:47.000000;;26NOV2015:09:09:57.000000;21FEB2023:20:03:07.000000;12OCT2015:00:00:00.000000;5000.000;;Ooredoo;;17JUL2021:18:33:13.000000;;0.0001224126;8169.093
No;2151605261;f9a6067e802408f592ef5b34f02bbd4a;;09JUL2019:00:00:00.000000;;09JUL2019:10:42:41.000000;14JAN2023:07:32:39.000000;09JUL2019:10:44:36.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2140473950;529f873c4baa7646b27c57db98f0e004;;28SEP2016:19:18:10.000000;;28SEP2016:19:00:25.000000;21FEB2023:19:14:42.000000;28SEP2016:18:59:40.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
